Alcohol_Percent,Link,Name,Price_Pound,Region,Volume
57.7% abv,https://www.whiskyshop.com/the-loch-fyne-glentauchers-11-year-old,The Loch Fyne Glentauchers 11 Year Old,75.00,Speyside,50cl
57.9% abv,https://www.whiskyshop.com/the-loch-fyne-aultmore-12-year-old,The Loch Fyne Aultmore 12 Year Old,80.00,Speyside,50cl
47.2% abv,https://www.whiskyshop.com/the-last-drop-56-year-old,The Last Drop 56 Year Old,"3,750.00",Scotland,70cl
40% abv,https://www.whiskyshop.com/johnnie-walker-taster-gift-set-3x5cl,Johnnie Walker Taster Gift Set 3x5cl,20.00,Scotland,3x5cl
40% abv,https://www.whiskyshop.com/glenfiddich-grand-cru-23-year-old,Glenfiddich Grand Cru 23 Year Old,220.00,Speyside,70cl
50% abv,https://www.whiskyshop.com/bruichladdich-the-classic-laddie-scottish-barley-gift-pack,Bruichladdich The Classic Laddie Scottish Barley Gift Pack,52.00,Islay,70cl
46% abv,https://www.whiskyshop.com/balblair-25-year-old,Balblair 25 Year Old,525.00,Highland,70cl
40% abv,https://www.whiskyshop.com/havana-club-especial,Havana Club Especial,34.00,,70cl
53.4% abv,https://www.whiskyshop.com/macallan-exceptional-single-cask-1950,Macallan Exceptional Single Cask 1950,"69,000.00",Speyside,70cl
35% abv,https://www.whiskyshop.com/jagermeister,Jagermeister,20.00,,50cl
40% abv,https://www.whiskyshop.com/patron-anejo-tequila,Patron Anejo Tequila,60.00,,70cl
20% abv,https://www.whiskyshop.com/midori,Midori,25.00,,70cl
40% abv,https://www.whiskyshop.com/martell-vs,Martell VS,45.00,,70cl
43% abv,https://www.whiskyshop.com/makar-glasgow-gin,Makar Gin,40.00,,70cl
40% abv,https://www.whiskyshop.com/kelso-gin-co-the-crow-man-s-gin,Kelso Gin Co. The Crow Man's Gin,54.00,,70cl
46% abv,https://www.whiskyshop.com/botanist-dry-gin-20cl,Botanist Dry Gin 20cl,23.00,,20cl
40% abv,https://www.whiskyshop.com/louis-royer-extra-grande-champagne-cognac,Louis Royer Extra Grande Champagne Cognac,400.00,,70cl
40% abv,https://www.whiskyshop.com/haku-vodka,Haku Vodka,39.00,Japan,70cl
